,1. Tur Katılım,2. Tur Katılım,Katılım Farkı,1. Tur Toplam Seçmen,2. Tur Toplam Seçmen ,Toplam Seçmen Farkı,1. Tur Erdoğan Oy Sayısı,2. Tur Erdoğan Oy Sayısı,Erdoğan Oy Artışı,1. Tur Kılıçdaroğlu Oy Sayısı,2. Tur Kılıçdaroğlu Oy Sayısı,Kılıçdaroğlu Oy Artışı,İkinci Turda Erdoğan-Kılıçdaroğlu Farkı
Hınıs,"77,48","73,12","-4,36",16312,16334,22,5034,5237,203,6779,6381,-398,-1144
Birecik,"78,42","73,87","-4,55",56776,56850,74,23866,24069,203,18423,17418,-1005,6651
Narlıdere,"91,58","89,89","-1,69",50010,50039,29,6504,6706,202,37569,37987,418,-31281
Hacılar,"95,38","93,63","-1,75",9545,9555,10,7001,7203,202,1359,1611,252,5592
Çekerek,"90,49","88,81","-1,68",14152,14170,18,9648,9850,202,2428,2544,116,7306
Pazaryeri,"91,43","88,32","-3,11",7936,7937,1,4039,4239,200,2372,2647,275,1592
Hadim,"88,44","86,13","-2,31",8744,8748,4,5153,5353,200,1935,1994,59,3359
Beydağ,"91,39","89,50","-1,89",9875,9882,7,3055,3254,199,5029,5365,336,-2111
Arsin,"88,66","85,58","-3,08",23350,23358,8,16125,16324,199,3302,3505,203,12819
Hekimhan,"89,05","88,48","-0,57",12975,12980,5,4880,5078,198,6175,6263,88,-1185
Çavdır,"88,41","83,64","-4,77",10110,10112,2,4660,4858,198,3361,3434,73,1424
Şenkaya,"81,05","78,29","-2,76",12764,12775,11,5666,5863,197,4035,3996,-39,1867
Ayaş,"93,24","90,89","-2,35",10009,10012,3,5066,5262,196,3488,3672,184,1590
Acıgöl,"91,31","89,79","-1,52",14023,14033,10,10855,11051,196,1190,1321,131,9730
Bayat – Çorum,"88,58","86,17","-2,41",11834,11844,10,7852,8048,196,1895,1967,72,6081
Çüngüş,"77,01","73,38","-3,63",7483,7488,5,3103,3298,195,2146,2015,-131,1283
Arhavi,"88,75","86,81","-1,94",16901,16915,14,7780,7974,194,6144,6518,374,1456
Gönen – Isparta,"92,93","89,94","-2,99",5633,5637,4,2339,2533,194,2448,2458,10,75
Samandağ,"84,05","86,39","2,34",84206,84308,102,5244,5437,193,64383,67114,2731,-61677
Eflani,"89,59","86,51","-3,08",182049,182053,4,4349,4542,193,1189,1306,117,3236
Kozluk,"84,47","79,87","-4,60",37483,37518,35,10577,10769,192,18585,19587,1002,-8818
Babaeski,"91,03","88,71","-2,32",38671,38692,21,8577,8769,192,24805,25267,462,-16498
Serinhisar,"93,81","91,91","-1,90",11284,11286,2,5327,5519,192,4214,4631,417,888
Sütçüler,"88,86","86,38","-2,48",8220,8225,5,5465,5657,192,1198,1321,123,4336
İyidere,"89,16","88,89","-0,27",6981,6985,4,5097,5288,191,800,852,52,4436
Beytüşşebap,"79,89","75,78","-4,11",11337,11351,14,2725,2916,191,5748,5492,-256,-2576
Bayat – Afyonkarahisar,"89,60","86,70","-2,90",5701,5705,4,3102,3292,190,1434,1520,86,1772
Diyadin,"68,60","60,32","-8,28",22975,23011,36,3315,3505,190,11115,10122,-993,-6617
Olur,"82,95","81,98","-0,97",5397,5401,4,3359,3548,189,750,804,54,2744
Kurşunlu,"87,87","87,20","-0,67",6826,6827,1,4424,4612,188,1115,1254,139,3358
Doğankent,"88,20","85,79","-2,41",5036,5037,1,2985,3173,188,1026,1037,11,2136
Pazarlar,"90,18","89,32","-0,86",4012,4015,3,2517,2705,188,805,805,0,1900
Yenipazar – Aydın,"92,00","89,54","-2,46",9721,9724,3,4283,4470,187,3924,4094,170,376
Arpaçay,"78,52","74,64","-3,88",11206,11220,14,3934,4121,187,4018,4122,104,-1
Gevaş,"81,04","76,31","-4,73",18200,18220,20,6999,7185,186,6767,6374,-393,811
Sultanbeyli,"90,72","87,42","-3,30",244661,244888,227,141816,142000,184,66492,69523,3031,72477
Kuşadası,"86,61","83,41","-3,20",100825,100883,58,22691,22875,184,59730,60672,942,-37797
Yerköy,"88,25","84,26","-3,99",26532,26548,16,15344,15527,183,6161,6526,365,9001
Lice,"83,59","79,21","-4,38",17836,17855,19,1844,2027,183,12106,11852,-254,-9825
Çardak,"91,13","88,99","-2,14",6744,6747,3,2525,2707,182,2999,3171,172,-464
Kavaklıdere,"94,21","91,78","-2,43",8499,8505,6,4390,4568,178,2821,3028,207,1540
Altınekin,"93,79","92,45","-1,34",10259,10265,6,7777,7955,178,1265,1386,121,6569
Üzümlü,"86,90","85,77","-1,13",10371,10378,7,5467,5645,178,3016,3128,112,2517
Buharkent,"91,34","88,41","-2,93",10017,10023,6,3817,3994,177,4469,4730,261,-736
Doğanyurt,"80,00","78,46","-1,54",4534,4536,2,2728,2904,176,471,566,95,2338
Kocaköy,"84,59","79,35","-5,24",9861,9876,15,1206,1382,176,6690,6261,-429,-4879
Ayvacik,"87,32","84,18","-3,14",14725,14735,10,10522,10697,175,1492,1545,53,9152
Özalp,"71,40","65,29","-6,11",35797,35862,65,4314,4489,175,19594,18430,-1164,-13941
Silvan,"83,60","78,47","-5,13",54318,54406,88,8724,8899,175,34342,32653,-1689,-23754
Yunak,"80,04","76,70","-3,34",15980,15997,17,8869,9043,174,2926,2972,46,6071
Palu,"84,27","82,54","-1,73",13354,13365,11,9450,9623,173,1209,1178,-31,8445
Erdek,"88,74","86,30","-2,44",26792,26804,12,7734,7906,172,14736,15002,266,-7096
Çiçekdağı,"89,21","86,64","-2,57",10931,10947,16,6582,6754,172,2458,2601,143,4153
Güneysınır,"92,72","91,88","-0,84",6894,6900,6,5418,5590,172,624,652,28,4938
Piraziz,"90,14","87,91","-2,23",11383,11386,3,5895,6066,171,3642,3802,160,2264
Güney,"92,55","90,20","-2,35",7908,7911,3,3056,3227,171,3616,3735,119,-508
Eruh,"84,84","80,19","-4,65",11004,11020,16,2889,3060,171,5684,5473,-211,-2413
Ulubey – Uşak,"91,43","88,72","-2,71",10185,10190,5,3712,3881,169,4810,4972,162,-1091
Ağaçören,"84,97","82,38","-2,59",6076,6079,3,3858,4027,169,837,872,35,3155
Kilimli,"88,64","85,33","-3,31",26211,26231,20,11028,11196,168,10395,10844,449,352
Arnavutköy,"90,42","86,82","-3,60",219879,220113,234,120056,120223,167,65011,68556,3545,51667
Akyaka,"77,32","72,52","-4,80",7236,7242,6,2291,2458,167,2590,2718,128,-260
Dodurga,"90,26","88,71","-1,55",4560,4562,2,2209,2376,167,1476,1571,95,805
Şenpazar,"82,38","81,59","-0,79",3638,3639,1,2019,2184,165,643,700,57,1484
Çatak,"81,41","76,43","-4,98",11957,11975,18,3262,3427,165,5702,5488,-214,-2061
Şişli,"87,82","85,52","-2,30",203098,203195,97,49410,49574,164,121103,122972,1869,-73398
Gölmarmara,"92,72","89,89","-2,83",11683,11688,5,4281,4445,164,5801,5899,98,-1454
Baskil,"91,13","89,50","-1,63",9966,9973,7,7227,7391,164,1424,1433,9,5958
Taraklı,"94,14","92,89","-1,25",5338,5341,3,3751,3914,163,843,933,90,2981
Akkışla,"85,35","82,81","-2,54",4811,4812,1,2083,2245,162,1558,1642,84,603
Karahallı,"89,58","87,29","-2,29",8169,8174,5,3571,3733,162,3128,3212,84,521
Mengen,"86,69","83,44","-3,25",11420,11424,4,5588,5749,161,3448,3613,165,2136
Çamlıyayla,"90,85","87,97","-2,88",7095,7097,2,3513,3674,161,2344,2469,125,1205
Beyoğlu,"88,26","85,67","-2,59",167821,167929,108,70844,71004,160,69073,71508,2435,-504
Çobanlar,"93,87","90,53","-3,34",9488,9499,11,5696,5855,159,2342,2582,240,3273
Çavdarhisar,"87,77","85,82","-1,95",5062,5063,1,2788,2945,157,1185,1282,97,1663
Çeltikçi,"91,60","89,84","-1,76",4226,4228,2,2338,2494,156,1133,1205,72,1289
Oğuzlar,"93,42","91,99","-1,43",4167,4169,2,2500,2656,156,1067,1102,35,1554
Ekinözü,"85,81","84,10","-1,71",7492,7499,7,4023,4179,156,1968,2000,32,2179
Kabadüz,"89,22","86,55","-2,67",6029,6030,1,3622,3778,156,1330,1349,19,2429
Çayıralan,"73,20","72,26","-0,94",9297,9305,8,4346,4501,155,2007,2113,106,2388
Derebucak,"79,11","78,29","-0,82",4706,4708,2,2414,2569,155,951,1027,76,1542
Çamlıhemşin,"86,37","85,45","-0,92",5979,5980,1,3581,3736,155,1267,1306,39,2430
Baklan,"93,47","91,02","-2,45",4383,4388,5,1873,2028,155,1850,1870,20,158
Eğil,"73,92","67,14","-6,78",14232,14249,17,3713,3868,155,5871,5297,-574,-1429
Germencik,"91,98","88,37","-3,61",33056,33076,20,11687,11841,154,16543,16996,453,-5155
Akpınar,"85,46","83,00","-2,46",5928,5930,2,2921,3074,153,1766,1762,-4,1312
Karpuzlu,"91,64","88,44","-3,20",8788,8791,3,4594,4744,150,2723,2861,138,1883
Yumurtalık,"89,99","87,91","-2,08",13769,13775,6,6351,6499,148,5273,5462,189,1037
Akseki,"86,00","83,90","-2,10",9129,9132,3,4275,4423,148,2916,3079,163,1344
İpsala,"90,74","88,07","-2,67",21255,21271,16,7201,7348,147,10704,11127,423,-3779
Hanak,"85,49","84,61","-0,88",6397,6402,5,1630,1777,147,3418,3544,126,-1767
Küre,"85,05","82,93","-2,12",4333,4335,2,2394,2541,147,857,976,119,1565
Karamanlı,"89,77","87,44","-2,33",6588,6592,4,2529,2675,146,2863,3002,139,-327
Çaykara,"86,67","84,86","-1,81",11036,11040,4,7005,7150,145,1848,2007,159,5143
Düzköy,"86,69","84,03","-2,66",10636,10644,8,5790,5935,145,2764,2866,102,3069
Kadışehri,"89,12","87,83","-1,29",7474,7483,9,5473,5618,145,846,849,3,4769
Devrekani,"87,85","84,63","-3,22",10126,10136,10,6331,6474,143,1788,1982,194,4492
Mecitözü,"92,79","91,11","-1,68",11846,11851,5,6034,6176,142,4481,4505,24,1671
Manyas,"91,21","88,86","-2,35",15159,15164,5,5980,6121,141,6820,7172,352,-1051
Çifteler,"87,03","83,15","-3,88",11442,11444,2,5415,5556,141,3557,3810,253,1746
Gölpazarı,"88,96","86,68","-2,28",7580,7581,1,3618,3759,141,2587,2691,104,1068
Eldivan,"88,51","85,93","-2,58",5211,5215,4,3224,3365,141,945,1015,70,2350
Karkamış,"91,52","89,57","-1,95",7095,7098,3,3593,3734,141,2505,2525,20,1209
Dazkırı,"92,69","90,38","-2,31",8786,8794,8,4759,4899,140,2638,2910,272,1989
Hacıbektaş,"90,19","88,63","-1,56",8825,8829,4,2374,2514,140,5198,5239,41,-2725
Beyağaç,"93,03","90,01","-3,02",5090,5094,4,2367,2504,137,1879,1969,90,535
Kurucaşile,"85,56","83,58","-1,98",5409,5414,5,2382,2519,137,1827,1910,83,609
Kızılcahamam,"90,61","87,62","-2,99",22835,22851,16,13834,13970,136,5308,5669,361,8301
Güzelbahçe,"91,41","89,30","-2,11",28577,28595,18,4477,4613,136,20471,20761,290,-16148
Uzundere,"87,92","84,98","-2,94",6234,6238,4,4235,4371,136,743,827,84,3544
Aksu – Isparta,"86,84","85,18","-1,66",3480,3481,1,1614,1750,136,1107,1113,6,637
Musabeyli,"90,47","87,10","-3,37",8345,8355,10,5686,5822,136,1382,1386,4,4436
Çınarcık,"85,13","82,00","-3,13",28110,28126,16,10407,10542,135,11851,12252,401,-1710
Gökçeada,"84,40","81,30","-3,10",7764,7768,4,2336,2470,134,3693,3776,83,-1306
Bozkurt – Denizli,"91,39","88,46","-2,93",8569,8576,7,3254,3387,133,3851,4056,205,-669
Bekilli,"89,60","88,62","-0,98",5518,5518,0,1791,1924,133,2736,2869,133,-945
Göynücek,"92,04","91,06","-0,98",7950,7955,5,4744,4877,133,2150,2262,112,2615
Posof,"84,81","83,73","-1,08",5081,5082,1,2625,2758,133,1310,1408,98,1350
Korkut,"77,24","71,67","-5,57",14108,14126,18,2960,3093,133,7436,6774,-662,-3681
Arapgir,"86,21","83,87","-2,34",8165,8169,4,3734,3866,132,2879,2903,24,963
Şarköy,"87,90","85,49","-2,41",28231,28257,26,8413,8544,131,14947,15307,360,-6763
Güdül,"88,78","86,45","-2,33",7203,7204,1,4073,4202,129,1793,1920,127,2282
Doğubayazıt,"73,43","67,58","-5,85",70487,70454,-33,8228,8357,129,40794,38590,-2204,-30233
Çelikhan,"89,72","88,51","-1,21",10320,10330,10,5564,5692,128,3328,3266,-62,2426
Gercüş,"81,66","76,66","-5,00",13291,13307,16,5228,5355,127,4573,4909,336,446
Beylikova,"89,64","86,21","-3,43",4882,4886,4,2026,2153,127,1881,1966,85,187
Arıcak,"76,94","73,76","-3,18",9517,9524,7,5069,5196,127,1682,1564,-118,3632
Şaphane,"91,15","88,28","-2,87",4733,4737,4,2753,2879,126,1098,1185,87,1694
Varto,"77,07","74,33","-2,74",20505,20523,18,1484,1610,126,13704,13322,-382,-11712
Artuklu,"86,54","83,03","-3,51",118625,118554,-71,49807,49933,126,48128,46883,-1245,3050
Aydıntepe,"85,91","84,47","-1,44",4877,4881,4,3152,3277,125,712,765,53,2512
Kale – Malatya,"90,41","90,92","0,51",4600,4601,1,3609,3734,125,450,422,-28,3312
Dargeçit,"78,31","72,47","-5,84",17384,17397,13,3761,3886,125,8895,8345,-550,-4459
Atabey,"92,56","90,19","-2,37",4667,4668,1,2207,2331,124,1655,1812,157,519
Altınyayla – Burdur,"89,08","85,75","-3,33",4284,4288,4,2579,2703,124,803,864,61,1839
Maden,"82,83","80,42","-2,41",7554,7558,4,3849,3972,123,1998,1975,-23,1997
Gürgentepe,"89,45","86,70","-2,75",10835,10840,5,4735,4856,121,4333,4372,39,484
Tillo,"90,04","90,31","0,27",2682,2693,11,1871,1991,120,467,412,-55,1579
Güçlükonak,"84,09","78,11","-5,98",6895,6908,13,1468,1588,120,3860,3661,-199,-2073
Çeşme,"87,59","84,62","-2,97",39449,39468,19,8258,8377,119,24547,24794,247,-16417
Kızılırmak,"89,70","87,75","-1,95",5866,5870,4,4257,4376,119,657,711,54,3665
Dikmen,"84,11","82,01","-2,10",4167,4170,3,2558,2677,119,606,660,54,2017
Pınarhisar,"92,03","89,91","-2,12",14488,14483,-5,4507,4624,117,8038,8242,204,-3618
Saray – Van,"73,14","67,18","-5,96",11790,11804,14,2075,2192,117,5981,5554,-427,-3362
Evciler,"90,54","88,66","-1,88",5594,5598,4,2804,2920,116,1882,1949,67,971
Çanakçı,"87,60","85,11","-2,49",4945,4948,3,3109,3224,115,864,886,22,2338
Akçadağ,"87,06","86,65","-0,41",20881,20550,-331,10407,10521,114,7043,7086,43,3435
Uğurludağ,"90,86","89,29","-1,57",5033,5041,8,3554,3668,114,747,753,6,2915
Asarcık,"85,59","82,50","-3,09",11803,11811,8,8201,8314,113,1193,1273,80,7041
Sarız,"84,06","80,47","-3,59",7981,7984,3,3553,3666,113,2605,2680,75,986
