,1. Tur Katılım,2. Tur Katılım,Katılım Farkı,1. Tur Toplam Seçmen,2. Tur Toplam Seçmen ,Toplam Seçmen Farkı,1. Tur Erdoğan Oy Sayısı,2. Tur Erdoğan Oy Sayısı,Erdoğan Oy Artışı,1. Tur Kılıçdaroğlu Oy Sayısı,2. Tur Kılıçdaroğlu Oy Sayısı,Kılıçdaroğlu Oy Artışı,İkinci Turda Erdoğan-Kılıçdaroğlu Farkı
Adalar,"87,58","85,42","-2,16",13514,13516,2,2932,2952,20,8435,8480,45,-5528
Emirgazi,"84,82","80,03","-4,79",5659,5664,5,2952,2971,19,1477,1497,20,1474
Bozova,"77,02","73,47","-3,55",33079,33130,51,14106,14124,18,10432,9877,-555,4247
Seyitgazi,"93,44","91,42","-2,02",10739,10741,2,5088,5097,9,4231,4523,292,574
Pertek,"88,35","88,22","-0,13",8755,8759,4,1787,1796,9,5672,5873,201,-4077
Süloğlu,"90,95","87,11","-3,84",5030,5035,5,1800,1809,9,2398,2520,122,-711
Patnos,"68,77","59,39","-9,38",65482,65341,-141,10501,10510,9,31858,27585,-4273,-17075
Otlukbeli,"86,53","85,88","-0,65",1760,1764,4,1214,1220,6,255,266,11,954
Derecik,"79,34","74,34","-5,00",14882,14898,16,7517,7523,6,3431,3226,-205,4297
Araban,"84,03","81,25","-2,78",21986,22007,21,11803,11808,5,5694,5776,82,6032
Arguvan,"91,03","90,83","-0,20",5811,5813,2,1091,1093,2,4065,4162,97,-3069
Sivrihisar,"87,53","84,25","-3,28",16220,16227,7,7570,7570,0,5127,5633,506,1937
Dilovası,"88,91","83,79","-5,12",36043,36081,38,16775,16774,-1,13026,12976,-50,3798
Karaçoban,"70,61","63,39","-7,22",13556,13580,24,2345,2339,-6,6610,6080,-530,-3741
Çınar,"81,26","74,53","-6,73",43549,43590,41,11761,11754,-7,22268,20137,-2131,-8383
Hazro,"77,84","70,50","-7,34",10033,10048,15,1719,1704,-15,5569,5177,-392,-3473
Zeytinburnu,"88,44","85,43","-3,01",188988,189136,148,82436,82419,-17,74058,77366,3308,5053
Kovancılar,"80,94","77,59","-3,35",27145,27166,21,16838,16818,-20,3986,3920,-66,12898
